Latitude,Longitude,TMean (°C)
50.93,-68.95,1.231
50.93,-68.95,1.226
50.93,-68.95,1.016
50.93,-68.95,0.774
50.93,-68.95,0.891
50.93,-68.95,0.712
50.93,-68.95,0.857
50.93,-68.95,1.111
50.93,-68.95,1.134
50.93,-68.95,0.942
50.93,-68.95,0.899
50.93,-68.95,1.201
50.93,-68.95,0.942
50.93,-68.95,1.103
50.93,-68.95,1.085
50.93,-68.95,1.101
50.93,-68.95,1.183
50.93,-68.95,1.064
50.93,-68.95,0.82
50.93,-68.95,0.796
50.93,-68.95,0.902
50.93,-68.95,1.09
50.93,-68.95,0.811
50.93,-68.95,0.852
50.93,-68.95,1.051
50.93,-68.95,1.219
50.93,-68.95,1.07
50.93,-68.95,1.079
50.93,-68.95,0.849
50.92,-68.91,1.063
50.92,-68.91,1.167
50.92,-68.91,1.162
50.92,-68.91,0.953
50.92,-68.91,0.712
50.92,-68.91,0.828
50.92,-68.91,0.65
50.92,-68.91,0.794
50.92,-68.91,1.048
50.92,-68.91,1.07
50.92,-68.91,0.88
50.92,-68.91,0.836
50.92,-68.91,1.137
50.92,-68.91,0.879
50.92,-68.91,1.04
50.92,-68.91,1.022
50.92,-68.91,1.038
50.92,-68.91,1.12
50.92,-68.91,1.001
50.92,-68.91,0.758
50.92,-68.91,0.734
50.92,-68.91,0.839
50.92,-68.91,1.027
50.92,-68.91,0.749
50.92,-68.91,0.79
50.92,-68.91,0.987
50.92,-68.91,1.156
50.92,-68.91,1.007
50.92,-68.91,1.016
50.92,-68.91,0.787
50.92,-68.91,1.063
50.92,-68.91,1.167
50.92,-68.91,1.162
50.92,-68.91,0.953
50.92,-68.91,0.712
50.92,-68.91,0.828
50.92,-68.91,0.65
50.92,-68.91,0.794
50.92,-68.91,1.048
50.92,-68.91,1.07
50.92,-68.91,0.88
50.92,-68.91,0.836
50.92,-68.91,1.137
50.92,-68.91,0.879
50.92,-68.91,1.04
50.92,-68.91,1.022
50.92,-68.91,1.038
50.92,-68.91,1.12
50.92,-68.91,1.001
50.92,-68.91,0.758
50.92,-68.91,0.734
50.92,-68.91,0.839
50.92,-68.91,1.027
50.92,-68.91,0.749
50.92,-68.91,0.79
50.92,-68.91,0.987
50.92,-68.91,1.156
50.92,-68.91,1.007
50.92,-68.91,1.016
50.92,-68.91,0.787
50.93,-68.9,0.896
50.93,-68.9,1.001
50.93,-68.9,0.996
50.93,-68.9,0.787
50.93,-68.9,0.545
50.93,-68.9,0.662
50.93,-68.9,0.483
50.93,-68.9,0.628
50.93,-68.9,0.882
50.93,-68.9,0.904
50.93,-68.9,0.713
50.93,-68.9,0.67
50.93,-68.9,0.971
50.93,-68.9,0.713
50.93,-68.9,0.873
50.93,-68.9,0.856
50.93,-68.9,0.871
50.93,-68.9,0.953
50.93,-68.9,0.835
50.93,-68.9,0.592
50.93,-68.9,0.567
50.93,-68.9,0.673
50.93,-68.9,0.86
50.93,-68.9,0.583
50.93,-68.9,0.623
50.93,-68.9,0.821
50.93,-68.9,0.989
50.93,-68.9,0.84
50.93,-68.9,0.85
50.93,-68.9,0.62
50.93,-68.89,0.897
50.93,-68.89,1.002
50.93,-68.89,0.997
50.93,-68.89,0.788
50.93,-68.89,0.546
50.93,-68.89,0.663
50.93,-68.89,0.485
50.93,-68.89,0.629
50.93,-68.89,0.883
50.93,-68.89,0.905
50.93,-68.89,0.714
50.93,-68.89,0.671
50.93,-68.89,0.971
50.93,-68.89,0.714
50.93,-68.89,0.874
50.93,-68.89,0.857
50.93,-68.89,0.872
50.93,-68.89,0.954
50.93,-68.89,0.836
50.93,-68.89,0.593
50.93,-68.89,0.569
50.93,-68.89,0.674
50.93,-68.89,0.861
50.93,-68.89,0.584
50.93,-68.89,0.624
50.93,-68.89,0.822
50.93,-68.89,0.99
50.93,-68.89,0.841
50.93,-68.89,0.851
50.93,-68.89,0.622
50.93,-68.83,1.051
50.93,-68.83,1.151
50.93,-68.83,1.147
50.93,-68.83,0.947
50.93,-68.83,0.71
50.93,-68.83,0.82
50.93,-68.83,0.644
50.93,-68.83,0.786
50.93,-68.83,1.037
50.93,-68.83,1.056
50.93,-68.83,0.87
50.93,-68.83,0.83
50.93,-68.83,1.123
50.93,-68.83,0.871
50.93,-68.83,1.028
50.93,-68.83,1.01
50.93,-68.83,1.026
50.93,-68.83,1.108
50.93,-68.83,0.989
50.93,-68.83,0.752
50.93,-68.83,0.729
50.93,-68.83,0.834
50.93,-68.83,1.013
50.93,-68.83,0.744
50.93,-68.83,0.784
50.93,-68.83,0.976
50.93,-68.83,1.141
50.93,-68.83,0.994
50.93,-68.83,1.006
50.93,-68.83,0.783
50.94,-68.79,0.808
50.94,-68.79,0.907
50.94,-68.79,0.903
50.94,-68.79,0.704
50.94,-68.79,0.468
50.94,-68.79,0.577
50.94,-68.79,0.402
50.94,-68.79,0.543
50.94,-68.79,0.794
50.94,-68.79,0.813
50.94,-68.79,0.627
50.94,-68.79,0.587
50.94,-68.79,0.879
50.94,-68.79,0.628
50.94,-68.79,0.785
50.94,-68.79,0.767
50.94,-68.79,0.782
50.94,-68.79,0.865
50.94,-68.79,0.745
50.94,-68.79,0.51
50.94,-68.79,0.487
50.94,-68.79,0.591
50.94,-68.79,0.77
50.94,-68.79,0.502
50.94,-68.79,0.542
50.94,-68.79,0.733
50.94,-68.79,0.897
50.94,-68.79,0.75
50.94,-68.79,0.763
50.94,-68.79,0.54
50.94,-68.79,0.577
50.94,-68.79,0.676
50.94,-68.79,0.672
50.94,-68.79,0.472
50.94,-68.79,0.236
50.94,-68.79,0.346
50.94,-68.79,0.17
50.94,-68.79,0.312
50.94,-68.79,0.563
50.94,-68.79,0.582
50.94,-68.79,0.396
50.94,-68.79,0.356
50.94,-68.79,0.648
50.94,-68.79,0.397
50.94,-68.79,0.554
50.94,-68.79,0.536
50.94,-68.79,0.551
50.94,-68.79,0.634
50.94,-68.79,0.514
50.94,-68.79,0.279
50.94,-68.79,0.255
50.94,-68.79,0.36
50.94,-68.79,0.539
50.94,-68.79,0.27
50.94,-68.79,0.31
50.94,-68.79,0.502
50.94,-68.79,0.666
50.94,-68.79,0.519
50.94,-68.79,0.532
50.94,-68.79,0.309
50.93,-68.7,1.059
50.93,-68.7,1.157
50.93,-68.7,1.153
50.93,-68.7,0.956
50.93,-68.7,0.722
50.93,-68.7,0.829
50.93,-68.7,0.656
50.93,-68.7,0.796
50.93,-68.7,1.045
50.93,-68.7,1.063
50.93,-68.7,0.88
50.93,-68.7,0.84
50.93,-68.7,1.129
50.93,-68.7,0.881
50.93,-68.7,1.036
50.93,-68.7,1.017
50.93,-68.7,1.033
50.93,-68.7,1.115
50.93,-68.7,0.997
50.93,-68.7,0.764
50.93,-68.7,0.74
50.93,-68.7,0.844
50.93,-68.7,1.02
50.93,-68.7,0.755
50.93,-68.7,0.795
50.93,-68.7,0.983
50.93,-68.7,1.147
50.93,-68.7,1.001
50.93,-68.7,1.014
50.93,-68.7,0.794
50.93,-68.7,1.059
50.93,-68.7,1.157
50.93,-68.7,1.153
50.93,-68.7,0.956
50.93,-68.7,0.722
50.93,-68.7,0.829
50.93,-68.7,0.656
50.93,-68.7,0.796
50.93,-68.7,1.045
50.93,-68.7,1.063
50.93,-68.7,0.88
50.93,-68.7,0.84
50.93,-68.7,1.129
50.93,-68.7,0.881
50.93,-68.7,1.036
50.93,-68.7,1.017
50.93,-68.7,1.033
50.93,-68.7,1.115
50.93,-68.7,0.997
50.93,-68.7,0.764
50.93,-68.7,0.74
50.93,-68.7,0.844
50.93,-68.7,1.02
50.93,-68.7,0.755
50.93,-68.7,0.795
50.93,-68.7,0.983
50.93,-68.7,1.147
50.93,-68.7,1.001
50.93,-68.7,1.014
50.93,-68.7,0.794
51.16,-67.87,0.598
51.16,-67.87,0.722
51.16,-67.87,0.697
51.16,-67.87,0.528
51.16,-67.87,0.277
51.16,-67.87,0.37
51.16,-67.87,0.223
51.16,-67.87,0.337
51.16,-67.87,0.602
51.16,-67.87,0.638
51.16,-67.87,0.442
51.16,-67.87,0.395
51.16,-67.87,0.723
51.16,-67.87,0.422
51.16,-67.87,0.591
51.16,-67.87,0.584
51.16,-67.87,0.594
51.16,-67.87,0.656
51.16,-67.87,0.561
51.16,-67.87,0.317
51.16,-67.87,0.294
51.16,-67.87,0.379
51.16,-67.87,0.592
51.16,-67.87,0.287
51.16,-67.87,0.332
51.16,-67.87,0.554
51.16,-67.87,0.695
51.16,-67.87,0.568
51.16,-67.87,0.571
51.16,-67.87,0.359
51.16,-67.88,0.677
51.16,-67.88,0.8
51.16,-67.88,0.776
51.16,-67.88,0.607
51.16,-67.88,0.356
51.16,-67.88,0.449
51.16,-67.88,0.301
51.16,-67.88,0.416
51.16,-67.88,0.68
51.16,-67.88,0.717
51.16,-67.88,0.521
51.16,-67.88,0.473
51.16,-67.88,0.802
51.16,-67.88,0.501
51.16,-67.88,0.67
51.16,-67.88,0.663
51.16,-67.88,0.672
51.16,-67.88,0.735
51.16,-67.88,0.639
51.16,-67.88,0.396
51.16,-67.88,0.373
51.16,-67.88,0.457
51.16,-67.88,0.67
51.16,-67.88,0.365
51.16,-67.88,0.411
51.16,-67.88,0.633
51.16,-67.88,0.773
51.16,-67.88,0.646
51.16,-67.88,0.65
51.16,-67.88,0.437
51.08,-68.05,-0.374
51.08,-68.05,-0.254
51.08,-68.05,-0.279
51.08,-68.05,-0.441
51.08,-68.05,-0.687
51.08,-68.05,-0.601
51.08,-68.05,-0.744
51.08,-68.05,-0.632
51.08,-68.05,-0.37
51.08,-68.05,-0.336
51.08,-68.05,-0.532
51.08,-68.05,-0.576
51.08,-68.05,-0.255
51.08,-68.05,-0.544
51.08,-68.05,-0.381
51.08,-68.05,-0.387
51.08,-68.05,-0.38
51.08,-68.05,-0.313
51.08,-68.05,-0.413
51.08,-68.05,-0.651
51.08,-68.05,-0.673
51.08,-68.05,-0.587
51.08,-68.05,-0.387
51.08,-68.05,-0.678
51.08,-68.05,-0.634
51.08,-68.05,-0.419
51.08,-68.05,-0.282
51.08,-68.05,-0.409
51.08,-68.05,-0.401
51.08,-68.05,-0.609
51.08,-68.04,-0.669
51.08,-68.04,-0.549
51.08,-68.04,-0.573
51.08,-68.04,-0.735
51.08,-68.04,-0.982
51.08,-68.04,-0.896
51.08,-68.04,-1.039
51.08,-68.04,-0.927
51.08,-68.04,-0.664
51.08,-68.04,-0.631
51.08,-68.04,-0.827
51.08,-68.04,-0.871
51.08,-68.04,-0.549
51.08,-68.04,-0.839
51.08,-68.04,-0.675
51.08,-68.04,-0.681
51.08,-68.04,-0.675
51.08,-68.04,-0.608
51.08,-68.04,-0.707
51.08,-68.04,-0.946
51.08,-68.04,-0.968
51.08,-68.04,-0.882
51.08,-68.04,-0.681
51.08,-68.04,-0.973
51.08,-68.04,-0.929
51.08,-68.04,-0.713
51.08,-68.04,-0.576
51.08,-68.04,-0.703
51.08,-68.04,-0.696
51.08,-68.04,-0.904
51,-68.08,-0.057
51,-68.08,0.059
51,-68.08,0.034
51,-68.08,-0.122
51,-68.08,-0.36
51,-68.08,-0.279
51,-68.08,-0.417
51,-68.08,-0.305
51,-68.08,-0.051
51,-68.08,-0.023
51,-68.08,-0.213
51,-68.08,-0.256
51,-68.08,0.056
51,-68.08,-0.22
51,-68.08,-0.065
51,-68.08,-0.068
51,-68.08,-0.065
51,-68.08,0.005
51,-68.08,-0.096
51,-68.08,-0.326
51,-68.08,-0.348
51,-68.08,-0.263
51,-68.08,-0.073
51,-68.08,-0.349
51,-68.08,-0.31
51,-68.08,-0.104
51,-68.08,0.032
51,-68.08,-0.096
51,-68.08,-0.083
51,-68.08,-0.288
51,-68.08,-0.135
51,-68.08,-0.019
51,-68.08,-0.043
51,-68.08,-0.2
51,-68.08,-0.438
51,-68.08,-0.356
51,-68.08,-0.495
51,-68.08,-0.382
51,-68.08,-0.128
51,-68.08,-0.101
51,-68.08,-0.29
51,-68.08,-0.333
51,-68.08,-0.022
51,-68.08,-0.297
51,-68.08,-0.142
51,-68.08,-0.146
51,-68.08,-0.142
51,-68.08,-0.072
51,-68.08,-0.173
51,-68.08,-0.404
51,-68.08,-0.426
51,-68.08,-0.341
51,-68.08,-0.151
51,-68.08,-0.427
51,-68.08,-0.387
51,-68.08,-0.181
51,-68.08,-0.045
51,-68.08,-0.174
51,-68.08,-0.161
51,-68.08,-0.365
51.01,-68.08,-0.146
51.01,-68.08,-0.03
51.01,-68.08,-0.054
51.01,-68.08,-0.211
51.01,-68.08,-0.449
51.01,-68.08,-0.368
51.01,-68.08,-0.506
51.01,-68.08,-0.393
51.01,-68.08,-0.139
51.01,-68.08,-0.112
51.01,-68.08,-0.301
51.01,-68.08,-0.344
51.01,-68.08,-0.033
51.01,-68.08,-0.308
51.01,-68.08,-0.153
51.01,-68.08,-0.157
51.01,-68.08,-0.153
51.01,-68.08,-0.083
51.01,-68.08,-0.184
51.01,-68.08,-0.415
51.01,-68.08,-0.437
51.01,-68.08,-0.352
51.01,-68.08,-0.162
51.01,-68.08,-0.438
51.01,-68.08,-0.398
51.01,-68.08,-0.192
51.01,-68.08,-0.056
51.01,-68.08,-0.185
51.01,-68.08,-0.172
51.01,-68.08,-0.376
51.08,-67.83,0.35
51.08,-67.83,0.469
51.08,-67.83,0.445
51.08,-67.83,0.285
51.08,-67.83,0.041
51.08,-67.83,0.126
51.08,-67.83,-0.016
51.08,-67.83,0.095
51.08,-67.83,0.355
51.08,-67.83,0.388
51.08,-67.83,0.194
51.08,-67.83,0.151
51.08,-67.83,0.469
51.08,-67.83,0.183
51.08,-67.83,0.344
51.08,-67.83,0.338
51.08,-67.83,0.345
51.08,-67.83,0.411
51.08,-67.83,0.312
51.08,-67.83,0.077
51.08,-67.83,0.055
51.08,-67.83,0.14
51.08,-67.83,0.338
51.08,-67.83,0.05
51.08,-67.83,0.094
51.08,-67.83,0.306
51.08,-67.83,0.442
51.08,-67.83,0.316
51.08,-67.83,0.324
51.08,-67.83,0.119
50.9,-68.38,-0.366
50.9,-68.38,-0.28
50.9,-68.38,-0.28
50.9,-68.38,-0.456
50.9,-68.38,-0.674
50.9,-68.38,-0.58
50.9,-68.38,-0.741
50.9,-68.38,-0.613
50.9,-68.38,-0.379
50.9,-68.38,-0.36
50.9,-68.38,-0.535
50.9,-68.38,-0.569
50.9,-68.38,-0.302
50.9,-68.38,-0.528
50.9,-68.38,-0.384
50.9,-68.38,-0.405
50.9,-68.38,-0.39
50.9,-68.38,-0.306
50.9,-68.38,-0.427
50.9,-68.38,-0.639
50.9,-68.38,-0.661
50.9,-68.38,-0.561
50.9,-68.38,-0.408
50.9,-68.38,-0.646
50.9,-68.38,-0.606
50.9,-68.38,-0.437
50.9,-68.38,-0.285
50.9,-68.38,-0.425
50.9,-68.38,-0.404
50.9,-68.38,-0.608
50.88,-68.22,0.332
50.88,-68.22,0.374
50.88,-68.22,0.369
50.88,-68.22,0.255
50.88,-68.22,0.074
50.88,-68.22,0.131
50.88,-68.22,0.012
50.88,-68.22,0.106
50.88,-68.22,0.305
50.88,-68.22,0.328
50.88,-68.22,0.196
50.88,-68.22,0.146
50.88,-68.22,0.389
50.88,-68.22,0.194
50.88,-68.22,0.318
50.88,-68.22,0.265
50.88,-68.22,0.296
50.88,-68.22,0.353
50.88,-68.22,0.273
50.88,-68.22,0.106
50.88,-68.22,0.085
50.88,-68.22,0.143
50.88,-68.22,0.285
50.88,-68.22,0.049
50.88,-68.22,0.12
50.88,-68.22,0.261
50.88,-68.22,0.368
50.88,-68.22,0.269
50.88,-68.22,0.3
50.88,-68.22,0.153
50.88,-68.22,0.409
50.88,-68.22,0.45
50.88,-68.22,0.446
50.88,-68.22,0.331
50.88,-68.22,0.151
50.88,-68.22,0.208
50.88,-68.22,0.089
50.88,-68.22,0.183
50.88,-68.22,0.382
50.88,-68.22,0.405
50.88,-68.22,0.272
50.88,-68.22,0.223
50.88,-68.22,0.466
50.88,-68.22,0.271
50.88,-68.22,0.394
50.88,-68.22,0.342
50.88,-68.22,0.373
50.88,-68.22,0.429
50.88,-68.22,0.35
50.88,-68.22,0.183
50.88,-68.22,0.162
50.88,-68.22,0.219
50.88,-68.22,0.362
50.88,-68.22,0.125
50.88,-68.22,0.197
50.88,-68.22,0.337
50.88,-68.22,0.445
50.88,-68.22,0.346
50.88,-68.22,0.377
50.88,-68.22,0.229
50.93,-67.8,0.406
50.93,-67.8,0.511
50.93,-67.8,0.49
50.93,-67.8,0.346
50.93,-67.8,0.118
50.93,-67.8,0.194
50.93,-67.8,0.063
50.93,-67.8,0.168
50.93,-67.8,0.411
50.93,-67.8,0.436
50.93,-67.8,0.256
50.93,-67.8,0.217
50.93,-67.8,0.51
50.93,-67.8,0.252
50.93,-67.8,0.399
50.93,-67.8,0.392
50.93,-67.8,0.397
50.93,-67.8,0.467
50.93,-67.8,0.367
50.93,-67.8,0.151
50.93,-67.8,0.128
50.93,-67.8,0.212
50.93,-67.8,0.386
50.93,-67.8,0.128
50.93,-67.8,0.166
50.93,-67.8,0.358
50.93,-67.8,0.489
50.93,-67.8,0.364
50.93,-67.8,0.38
50.93,-67.8,0.188
50.93,-67.8,0.165
50.93,-67.8,0.27
50.93,-67.8,0.249
50.93,-67.8,0.104
50.93,-67.8,-0.123
50.93,-67.8,-0.047
50.93,-67.8,-0.178
50.93,-67.8,-0.073
50.93,-67.8,0.17
50.93,-67.8,0.195
50.93,-67.8,0.015
50.93,-67.8,-0.024
50.93,-67.8,0.269
50.93,-67.8,0.011
50.93,-67.8,0.158
50.93,-67.8,0.151
50.93,-67.8,0.156
50.93,-67.8,0.226
50.93,-67.8,0.125
50.93,-67.8,-0.09
50.93,-67.8,-0.113
50.93,-67.8,-0.029
50.93,-67.8,0.145
50.93,-67.8,-0.113
50.93,-67.8,-0.075
50.93,-67.8,0.117
50.93,-67.8,0.248
50.93,-67.8,0.123
50.93,-67.8,0.139
50.93,-67.8,-0.054
50.92,-67.95,0.22
50.92,-67.95,0.335
50.92,-67.95,0.31
50.92,-67.95,0.156
50.92,-67.95,-0.08
50.92,-67.95,0
50.92,-67.95,-0.136
50.92,-67.95,-0.025
50.92,-67.95,0.227
50.92,-67.95,0.254
50.92,-67.95,0.066
50.92,-67.95,0.024
50.92,-67.95,0.332
50.92,-67.95,0.06
50.92,-67.95,0.213
50.92,-67.95,0.209
50.92,-67.95,0.213
50.92,-67.95,0.283
50.92,-67.95,0.182
50.92,-67.95,-0.046
50.92,-67.95,-0.068
50.92,-67.95,0.017
50.92,-67.95,0.203
50.92,-67.95,-0.069
50.92,-67.95,-0.029
50.92,-67.95,0.174
50.92,-67.95,0.309
50.92,-67.95,0.181
50.92,-67.95,0.194
50.92,-67.95,-0.008
50.9,-67.83,0.916
50.9,-67.83,1.02
50.9,-67.83,0.999
50.9,-67.83,0.855
50.9,-67.83,0.628
50.9,-67.83,0.704
50.9,-67.83,0.573
50.9,-67.83,0.678
50.9,-67.83,0.92
50.9,-67.83,0.945
50.9,-67.83,0.765
50.9,-67.83,0.727
50.9,-67.83,1.019
50.9,-67.83,0.762
50.9,-67.83,0.908
50.9,-67.83,0.901
50.9,-67.83,0.906
50.9,-67.83,0.976
50.9,-67.83,0.876
50.9,-67.83,0.661
50.9,-67.83,0.638
50.9,-67.83,0.722
50.9,-67.83,0.894
50.9,-67.83,0.638
50.9,-67.83,0.676
50.9,-67.83,0.867
50.9,-67.83,0.998
50.9,-67.83,0.873
50.9,-67.83,0.889
50.9,-67.83,0.697
50.88,-67.87,0.696
50.88,-67.87,0.8
50.88,-67.87,0.779
50.88,-67.87,0.635
50.88,-67.87,0.408
50.88,-67.87,0.484
50.88,-67.87,0.354
50.88,-67.87,0.458
50.88,-67.87,0.7
50.88,-67.87,0.725
50.88,-67.87,0.545
50.88,-67.87,0.507
50.88,-67.87,0.799
50.88,-67.87,0.543
50.88,-67.87,0.688
50.88,-67.87,0.681
50.88,-67.87,0.686
50.88,-67.87,0.756
50.88,-67.87,0.656
50.88,-67.87,0.441
50.88,-67.87,0.418
50.88,-67.87,0.502
50.88,-67.87,0.674
50.88,-67.87,0.419
50.88,-67.87,0.457
50.88,-67.87,0.647
50.88,-67.87,0.778
50.88,-67.87,0.653
50.88,-67.87,0.67
50.88,-67.87,0.478
50.88,-67.87,0.696
50.88,-67.87,0.8
50.88,-67.87,0.779
50.88,-67.87,0.635
50.88,-67.87,0.408
50.88,-67.87,0.484
50.88,-67.87,0.354
50.88,-67.87,0.458
50.88,-67.87,0.7
50.88,-67.87,0.725
50.88,-67.87,0.545
50.88,-67.87,0.507
50.88,-67.87,0.799
50.88,-67.87,0.543
50.88,-67.87,0.688
50.88,-67.87,0.681
50.88,-67.87,0.686
50.88,-67.87,0.756
50.88,-67.87,0.656
50.88,-67.87,0.441
50.88,-67.87,0.418
50.88,-67.87,0.502
50.88,-67.87,0.674
50.88,-67.87,0.419
50.88,-67.87,0.457
50.88,-67.87,0.647
50.88,-67.87,0.778
50.88,-67.87,0.653
50.88,-67.87,0.67
50.88,-67.87,0.478
50.79,-68.26,0.619
50.79,-68.26,0.66
50.79,-68.26,0.655
50.79,-68.26,0.541
50.79,-68.26,0.361
50.79,-68.26,0.418
50.79,-68.26,0.299
50.79,-68.26,0.392
50.79,-68.26,0.592
50.79,-68.26,0.614
50.79,-68.26,0.482
50.79,-68.26,0.433
50.79,-68.26,0.675
50.79,-68.26,0.481
50.79,-68.26,0.604
50.79,-68.26,0.552
50.79,-68.26,0.583
50.79,-68.26,0.639
50.79,-68.26,0.56
50.79,-68.26,0.393
50.79,-68.26,0.372
50.79,-68.26,0.429
50.79,-68.26,0.571
50.79,-68.26,0.336
50.79,-68.26,0.407
50.79,-68.26,0.547
50.79,-68.26,0.654
50.79,-68.26,0.555
50.79,-68.26,0.587
50.79,-68.26,0.439
50.84,-68.12,0.835
50.84,-68.12,0.875
50.84,-68.12,0.87
50.84,-68.12,0.758
50.84,-68.12,0.578
50.84,-68.12,0.634
50.84,-68.12,0.516
50.84,-68.12,0.609
50.84,-68.12,0.807
50.84,-68.12,0.83
50.84,-68.12,0.699
50.84,-68.12,0.65
50.84,-68.12,0.891
50.84,-68.12,0.698
50.84,-68.12,0.82
50.84,-68.12,0.767
50.84,-68.12,0.798
50.84,-68.12,0.855
50.84,-68.12,0.776
50.84,-68.12,0.61
50.84,-68.12,0.589
50.84,-68.12,0.646
50.84,-68.12,0.787
50.84,-68.12,0.553
50.84,-68.12,0.624
50.84,-68.12,0.763
50.84,-68.12,0.87
50.84,-68.12,0.771
50.84,-68.12,0.803
50.84,-68.12,0.656
50.84,-68.13,0.523
50.84,-68.13,0.563
50.84,-68.13,0.559
50.84,-68.13,0.446
50.84,-68.13,0.266
50.84,-68.13,0.322
50.84,-68.13,0.204
50.84,-68.13,0.297
50.84,-68.13,0.495
50.84,-68.13,0.518
50.84,-68.13,0.387
50.84,-68.13,0.338
50.84,-68.13,0.579
50.84,-68.13,0.385
50.84,-68.13,0.508
50.84,-68.13,0.455
50.84,-68.13,0.486
50.84,-68.13,0.543
50.84,-68.13,0.464
50.84,-68.13,0.298
50.84,-68.13,0.276
50.84,-68.13,0.334
50.84,-68.13,0.475
50.84,-68.13,0.241
50.84,-68.13,0.312
50.84,-68.13,0.451
50.84,-68.13,0.558
50.84,-68.13,0.459
50.84,-68.13,0.491
50.84,-68.13,0.344
50.83,-68.2,1.041
50.83,-68.2,1.082
50.83,-68.2,1.077
50.83,-68.2,0.964
50.83,-68.2,0.784
50.83,-68.2,0.84
50.83,-68.2,0.722
50.83,-68.2,0.815
50.83,-68.2,1.014
50.83,-68.2,1.037
50.83,-68.2,0.905
50.83,-68.2,0.856
50.83,-68.2,1.097
50.83,-68.2,0.904
50.83,-68.2,1.026
50.83,-68.2,0.974
50.83,-68.2,1.005
50.83,-68.2,1.061
50.83,-68.2,0.982
50.83,-68.2,0.816
50.83,-68.2,0.795
50.83,-68.2,0.852
50.83,-68.2,0.993
50.83,-68.2,0.759
50.83,-68.2,0.83
50.83,-68.2,0.969
50.83,-68.2,1.076
50.83,-68.2,0.978
50.83,-68.2,1.009
50.83,-68.2,0.862
50.83,-68.2,1.041
50.83,-68.2,1.082
50.83,-68.2,1.077
50.83,-68.2,0.964
50.83,-68.2,0.784
50.83,-68.2,0.84
50.83,-68.2,0.722
50.83,-68.2,0.815
50.83,-68.2,1.014
50.83,-68.2,1.037
50.83,-68.2,0.905
50.83,-68.2,0.856
50.83,-68.2,1.097
50.83,-68.2,0.904
50.83,-68.2,1.026
50.83,-68.2,0.974
50.83,-68.2,1.005
50.83,-68.2,1.061
50.83,-68.2,0.982
50.83,-68.2,0.816
50.83,-68.2,0.795
50.83,-68.2,0.852
50.83,-68.2,0.993
50.83,-68.2,0.759
50.83,-68.2,0.83
50.83,-68.2,0.969
50.83,-68.2,1.076
50.83,-68.2,0.978
50.83,-68.2,1.009
50.83,-68.2,0.862
50.83,-68.2,0.966
50.83,-68.2,1.007
50.83,-68.2,1.002
50.83,-68.2,0.889
50.83,-68.2,0.709
50.83,-68.2,0.765
50.83,-68.2,0.647
50.83,-68.2,0.74
50.83,-68.2,0.939
50.83,-68.2,0.961
50.83,-68.2,0.83
50.83,-68.2,0.781
50.83,-68.2,1.022
50.83,-68.2,0.829
50.83,-68.2,0.951
50.83,-68.2,0.899
50.83,-68.2,0.93
50.83,-68.2,0.986
50.83,-68.2,0.907
50.83,-68.2,0.741
50.83,-68.2,0.719
50.83,-68.2,0.777
50.83,-68.2,0.918
50.83,-68.2,0.683
50.83,-68.2,0.755
50.83,-68.2,0.894
50.83,-68.2,1.001
50.83,-68.2,0.902
50.83,-68.2,0.934
50.83,-68.2,0.787
50.8,-68.12,0.089
50.8,-68.12,0.129
50.8,-68.12,0.125
50.8,-68.12,0.012
50.8,-68.12,-0.168
50.8,-68.12,-0.112
50.8,-68.12,-0.23
50.8,-68.12,-0.137
50.8,-68.12,0.061
50.8,-68.12,0.084
50.8,-68.12,-0.047
50.8,-68.12,-0.096
50.8,-68.12,0.145
50.8,-68.12,-0.048
50.8,-68.12,0.074
50.8,-68.12,0.021
50.8,-68.12,0.052
50.8,-68.12,0.109
50.8,-68.12,0.03
50.8,-68.12,-0.136
50.8,-68.12,-0.157
50.8,-68.12,-0.1
50.8,-68.12,0.041
50.8,-68.12,-0.193
50.8,-68.12,-0.122
50.8,-68.12,0.017
50.8,-68.12,0.124
50.8,-68.12,0.025
50.8,-68.12,0.057
50.8,-68.12,-0.09
50.79,-67.79,0.9
50.79,-67.79,1.003
50.79,-67.79,0.982
50.79,-67.79,0.839
50.79,-67.79,0.613
50.79,-67.79,0.689
50.79,-67.79,0.559
50.79,-67.79,0.663
50.79,-67.79,0.904
50.79,-67.79,0.929
50.79,-67.79,0.75
50.79,-67.79,0.712
50.79,-67.79,1.002
50.79,-67.79,0.747
50.79,-67.79,0.892
50.79,-67.79,0.885
50.79,-67.79,0.89
50.79,-67.79,0.96
50.79,-67.79,0.86
50.79,-67.79,0.646
50.79,-67.79,0.623
50.79,-67.79,0.707
50.79,-67.79,0.878
50.79,-67.79,0.624
50.79,-67.79,0.662
50.79,-67.79,0.851
50.79,-67.79,0.982
50.79,-67.79,0.857
50.79,-67.79,0.874
50.79,-67.79,0.682
50.76,-67.98,0.882
50.76,-67.98,0.989
50.76,-67.98,0.967
50.76,-67.98,0.822
50.76,-67.98,0.595
50.76,-67.98,0.671
50.76,-67.98,0.539
50.76,-67.98,0.649
50.76,-67.98,0.89
50.76,-67.98,0.911
50.76,-67.98,0.731
50.76,-67.98,0.693
50.76,-67.98,0.985
50.76,-67.98,0.73
50.76,-67.98,0.873
50.76,-67.98,0.871
50.76,-67.98,0.873
50.76,-67.98,0.946
50.76,-67.98,0.842
